"C_C_C_C_C_C_C_C_C_C_C_C_C30","DirVADDryCrops","DIRECT VAD:   DRYLAND CROPS (R/A)","0.0 : 1100000.0 : 22000000.0","C_C_C_C_C_C_C_C_C_C_C_C_C30=C_C_C_C_C_C_C_C_C_C_C_C_C29+C949",0
"C_C_C_C_C_C_C_C_C_C_C_C30","DirVADIrrCrops","DIRECT VAD:  IRRIGATED CROPS (R/A)","0.0 : 100000000.0 : 1000000000.0","C_C_C_C_C_C_C_C_C_C_C_C30=C_C_C_C_C_C_C_C_C_C_C_C29+1*C947",0
"C952","DirVADWC","C952: DIRECT VAD WESTERN CAPE(R)","0.0 : 320000000.0 : 3200000000.0","C952=C944+C938",0
"C_C_C_C_C_C_C_C_C_C_C_C_C6","DryCaneHA","AREA: DRYLAND SUGARCANE (HA)","0.0 : 4.0 : 48.0","C_C_C_C_C_C_C_C_C_C_C_C_C6",0
"C_C_C_C_C_C_C_C_C_C_C_C_C5","DryFruitMOGDBHA","AREA: DRYLAND FRUIT: MOGBD","0.0 : 333.333333333 : 3000.0","C_C_C_C_C_C_C_C_C_C_C_C_C5",0
"C_C_C_C_C879","DryFuitVegHA","C879:  DRYLAND  FRUIT&VEG","0.0 : 2.0 : 16.0","C_C_C_C_C879",0
"C_C_C_C_C_C_C_C_C_C_C_C_C4","DryGrainHA","AREA: DRYLAND GRAIN (HA)","0.0 : 80.0 : 800.0","C_C_C_C_C_C_C_C_C_C_C_C_C4",0
"C_C_C_C_C878","DrySoyHA","C878: SOYBEANS DRYLAND","0.0 : 1.0 : 10.0","C_C_C_C_C878",0
"C_C_C_C_C880","DrySunHA","C880: DRYLAND  SUNFLOWER","0.0 : 4.0 : 48.0","C_C_C_C_C880",0
"C_C_C_C_C_C_C879","DryTobacHA","C879:  DRYLAND TOBACCO","0.0 : 15.0 : 120.0","C_C_C_C_C_C_C879",0
"C_C_C_C_C_C_C_C_C_C_C_C_C_C_C21","DryWatUseCane_A","DRYLAND WATER USE:  SUGARCANE (KM3)","0.0 : 3529.41176471 : 60000.0","C_C_C_C_C_C_C_C_C_C_C_C_C_C_C21=C_C_C_C_C_C_C_C_C_C_C_C_C6 * 1100",0
"C_C_C_C_C_C_C_C_C_C_C_C_C21","DryWatUseCane_B","DRYLAND WATER USE:  SUGARCANE (KM3)","0.0 : 3529.41176471 : 60000.0","C_C_C_C_C_C_C_C_C_C_C_C_C21=C_C_C_C_C_C_C_C_C_C_C_C_C8_3 * 1100",0
"C_C_C_C_C_C_C_C_C_C_C_C_C_C_C15","DryWatUseCereals_A","DRYLAND WATER USE:  GRAIN AND WHEAT (KM3)","0.0 : 250000.0 : 5000000.0","C_C_C_C_C_C_C_C_C_C_C_C_C_C_C15=C_C_C_C_C_C_C_C_C_C_C_C_C_C_C19 + C_C_C_C_C_C_C_C_C_C_C_C_C_C_C20",0
"C_C_C_C_C_C_C_C_C_C_C_C_C15","DryWatUseCereals_B","DRYLAND WATER USE:  GRAIN AND WHEAT (KM3)","0.0 : 250000.0 : 5000000.0","C_C_C_C_C_C_C_C_C_C_C_C_C15=C_C_C_C_C_C_C_C_C_C_C_C_C19 + C_C_C_C_C_C_C_C_C_C_C_C_C20",0
"C_C_C_C_C_C_C_C_C_C_C_C_C_C_C22","DryWatUseFruit_A","DRYLAND WATER USE: FRUITS AND NUTS (KM3)","0.0 : 1764.70588235 : 30000.0","C_C_C_C_C_C_C_C_C_C_C_C_C_C_C22=800 * C_C_C_C_C_C_C_C_C_C_C_C_C5 + 800 * C_C_C_C_C879",0
"C_C_C_C_C_C_C_C_C_C_C_C_C22","DryWatUseFruit_B","DRYLAND WATER USE: FRUITS AND NUTS (KM3)","0.0 : 1764.70588235 : 30000.0","C_C_C_C_C_C_C_C_C_C_C_C_C22=800 * C_C_C_C_C_C_C_C_C_C_C_C_C_C_C8_4 + 800 * C_C_C_C_C_C_C_C_C_C_C_C_C_C4_2_2",0
"C_C_C_C_C_C_C_C_C_C_C_C_C_C_C23","DryWatUseFruitCane_A","DRYLAND WATER USE:  SUGARCANE, FRUITS AND NUTS (KM3)","0.0 : 5000.0 : 100000.0","C_C_C_C_C_C_C_C_C_C_C_C_C_C_C23=C_C_C_C_C_C_C_C_C_C_C_C_C_C_C21 + C_C_C_C_C_C_C_C_C_C_C_C_C_C_C22",0
"C_C_C_C_C_C_C_C_C_C_C_C_C23","DryWatUseFruitCane_B","DRYLAND WATER USE:  SUGARCANE, FRUITS AND NUTS (KM3)","0.0 : 5000.0 : 100000.0","C_C_C_C_C_C_C_C_C_C_C_C_C23=C_C_C_C_C_C_C_C_C_C_C_C_C21 + C_C_C_C_C_C_C_C_C_C_C_C_C22",0
"C_C_C_C_C_C_C_C_C_C_C_C_C_C_C19","DryWatUseGrain_A","DRYLAND WATER USE  GRAIN (KM3)","0.0 : 400000.0 : 4000000.0","C_C_C_C_C_C_C_C_C_C_C_C_C_C_C19=C_C_C_C_C_C_C_C_C_C_C_C_C4 * 4936.5",0
"C_C_C_C_C_C_C_C_C_C_C_C_C19","DryWatUseGrain_B","DRYLAND WATER USE  GRAIN (KM3)","0.0 : 400000.0 : 4000000.0","C_C_C_C_C_C_C_C_C_C_C_C_C19=C_C_C_C_C_C_C_C_C_C_C_C_C8 * 4936.5",0
"C_C_C_C_C_C_C_C_C_C_C_C_C_C_C22_2_1","DryWatUseSoy_A","DRYLAND WATER USE:  SOYBEANS (KM3)","0.0 : 263.157894737 : 5000.0","C_C_C_C_C_C_C_C_C_C_C_C_C_C_C22_2_1=C_C_C_C_C878*459",0
"C_C_C_C_C_C_C_C_C_C_C_C_C22_2_1","DryWatUseSoy_B","DRYLAND WATER USE:  SOYBEANS (KM3)","0.0 : 263.157894737 : 5000.0","C_C_C_C_C_C_C_C_C_C_C_C_C22_2_1=C_C_C_C_C_C_C_C_C_C_C_C_C4_2_1_1 * 459",0
"C_C_C_C_C_C_C_C_C_C_C_C_C_C_C22_2","DryWatUseSun_A","DRYLAND WATER USE:  SUNFLOWER (KM3) (2)","0.0 : 882.352941176 : 15000.0","C_C_C_C_C_C_C_C_C_C_C_C_C_C_C22_2=1*C_C_C_C_C880*294",0
"C_C_C_C_C_C_C_C_C_C_C_C_C22_2","DryWatUseSun_B","DRYLAND WATER USE:  SUNFLOWER (KM3) (2)","0.0 : 882.352941176 : 15000.0","C_C_C_C_C_C_C_C_C_C_C_C_C22_2=C_C_C_C_C_C_C_C_C_C_C_C_C_C_C4_2_2 * 294",0
"C_C_C_C_C_C_C_C_C_C_C_C_C_C_C7","DryWatUseSunSoy_A","DRYLAND WATER USE:  SUNFLOWER AND SOYBEANS","0.0 : 2368.42105263 : 45000.0","C_C_C_C_C_C_C_C_C_C_C_C_C_C_C7=C_C_C_C_C_C_C_C_C_C_C_C_C_C_C22_2_1 + C_C_C_C_C_C_C_C_C_C_C_C_C_C_C22_2",0
"C_C_C_C_C_C_C_C_C_C_C_C_C7","DryWatUseSunSoy_B","DRYLAND WATER USE:  SUNFLOWER AND SOYBEANS","0.0 : 2368.42105263 : 45000.0","C_C_C_C_C_C_C_C_C_C_C_C_C7=C_C_C_C_C_C_C_C_C_C_C_C_C22_2_1 + C_C_C_C_C_C_C_C_C_C_C_C_C22_2",0
"C_C_C_C_C_C_C_C_C_C_C_C_C_C_C20","DryWatUseWheat_A","DRYLAND WATER USE WHEAT (KM3)","0.0 : 2352.94117647 : 40000.0","C_C_C_C_C_C_C_C_C_C_C_C_C_C_C20=C_C_C_C_C_C_C_C_C_C_C_C_C10 * 730.47",0
"C_C_C_C_C_C_C_C_C_C_C_C_C20","DryWatUseWheat_B","DRYLAND WATER USE WHEAT (KM3)","0.0 : 2352.94117647 : 40000.0","C_C_C_C_C_C_C_C_C_C_C_C_C20=C_C_C_C_C_C_C_C_C_C_C_C_C_C8_4 * 730.47",0
"C_C_C_C_C_C_C_C_C_C_C_C_C10","DryWheatHA","AREA: DRYLAND WHEAT (HA)","0.0 : 4.0 : 48.0","C_C_C_C_C_C_C_C_C_C_C_C_C10",0
"C889","EucHA","C889: EUCALYPTUS AREA","0.0 : 3750.0 : 30000.0","C889",0
"C_C_C_C_C_C31_1_1_1","EvapLossesDams","EVAPORATION LOSSES DAMS MM3/A (1)","0.0 : 2.27272727273 : 50.0","C_C_C_C_C_C31_1_1_1=C_C_C_C_C36* 0.8 * (0.7 * C_C_C_C_C11_1/1700)",0
"C_C_C_C_C_C31_1_1","EvapLosses","EVAPORATION LOSSES KM3/A","0.0 : 1.85185185185 : 50.0","C_C_C_C_C_C31_1_1= C_C_C_C_C24_1_1* 0.7*C_C_C_C_C11/1700",0
"C_C_C_C_C_C11_1","EvapRateDam","EVAPORATION RATE  DAMS (MM/A)","0.0 : 12.0 : 240.0","C_C_C_C_C_C11_1",0
"C_C_C_C_C_C11","EvapRatMAR","EVAPORATION RATE MAR (MM/A)","0.0 : 12.0 : 240.0","C_C_C_C_C_C11",0
"C_C_C_C_C_C24","ExpectedMAR","EXPECTED NET MAR THIS YR KM3","-120.0 : 9.6 : 120.0","C_C_C_C_C_C24=C_C_C_C_C24_1_1-C933",0
"C977","ExtraEarnSubsPerHouse","C977: AGGREGATED SUBSISTENCE EARNINGS  PER HOUSEHOLD (R)","0.0 : 200.0 : 5000.0","C977=C976/C957",0
"C_C977","ExtraWatSubsPerHouse","C977: AGGREGATED EXTRA WATER USE FOR SUBSISTENCE  PER HOUSEHOLD (R)","0.0 : 2.0 : 50.0","C_C977=C_C976 / C957",0
"C_C_C_C_C_C_C_C_C_C_C_C5","FruitHA","AREA: FRUIT:MOGBD","0.0 : 333.333333333 : 3000.0","C_C_C_C_C_C_C_C_C_C_C_C5",0
"C967","FruitTreeEarnings","C967: EARNINGS FROM FRUIT TREES","0.0 : 120000.0 : 3000000.0","C967=C_C959*20",0
"C_C958","FuitTrees","C958: FRUIT TREES","0.0 : 1000.0 : 20000.0","C_C958=C957 *0.57",0
"C962","GoatEarnings","C962: EARNINGS FROM GOATS (R)","0.0 : 60000.0 : 1500000.0","C962=C_C_C_C_C_C959*25",0
"C_C_C_C_C_C958","GoatesHH","C958: GOATS HH","0.0 : 500.0 : 12000.0","C_C_C_C_C_C958=C957 * 0.255",0
"C_C_C_C_C_C_C_C_C_C_C_C4","GrainHA","AREA: GRAIN (HA)","0.0 : 20.0 : 200.0","C_C_C_C_C_C_C_C_C_C_C_C4",0
"C960","HairSalonEarnings","C960: HAIR SALON  EARNINGS (R)","0.0 : 175000.0 : 3500000.0","C960=C_C_C_C_C_C_C_C959*840",0
"C963","IceBlockEarnings","C963: EARNINGS FROM ICE BLOCKS","0.0 : 200000.0 : 4000000.0","C963=C_C_C_C_C959*1700",0
"C_C_C_C_C958","IceBlockHH","C958: ICE BLOCK HHS","0.0 : 325.0 : 6500.0","C_C_C_C_C958=C957 * 0.095",0
